job_id,job_title,company,salary,city,exp,link
2292638,Nhân Viên CNTT Không Yêu Cầu Kinh Nghiệm,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,8 - 15 triệu,Hồ Chí Minh (mới),Không yêu cầu,https://www.topcv.vn/viec-lam/nhan-vien-cntt-khong-yeu-cau-kinh-nghiem/2292638.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2292668,Nhân Viên Tư Vấn Triển Khai Phần Mềm Thu Nhập Đến 20Tr - Được Đào Tạo,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,8 - 20 triệu,Hồ Chí Minh (mới),Không yêu cầu,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-trien-khai-phan-mem-thu-nhap-den-20tr-duoc-dao-tao/2292668.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2292797,"Kỹ Sư Thiết Kế Tủ Điện, Lập Trình PLC - Yêu  Cầu 2 Năm  Kinh Nghiệm Trở Lên - Thu Nhập Từ 15-25 Triệu/ Tháng",CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ VIETEK,15 - 25 triệu,Hà Nội,2 năm,https://www.topcv.vn/viec-lam/ky-su-thiet-ke-tu-dien-lap-trinh-plc-yeu-cau-2-nam-kinh-nghiem-tro-len-thu-nhap-tu-15-25-trieu-thang/2292797.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2274506,Expert Devsecops,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN KỸ THƯƠNG VIỆT NAM,Thoả thuận,Hà Nội,Trên 5 năm,https://www.topcv.vn/viec-lam/expert-devsecops/2274506.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2291356,Digital Leadership - ID10550,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),Thoả thuận,Hà Nội,Trên 5 năm,https://www.topcv.vn/brand/vpbank/tuyen-dung/digital-leadership-id10550-j2291356.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2291737,Associate Product Manager (Sản Phẩm Tài Chính Khối Cơ Quan Nhà Nước),Công ty Cổ phần MISA,Thoả thuận,Hà Nội,2 năm,https://www.topcv.vn/viec-lam/associate-product-manager-san-pham-tai-chinh-khoi-co-quan-nha-nuoc/2291737.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2293972,Chuyên Viên Ứng Dụng AI (Senior AI/ Gen AI Engineer),TỔNG CÔNG TY VIỄN THÔNG VIETTEL - CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thoả thuận,Hà Nội,3 năm,https://www.topcv.vn/viec-lam/chuyen-vien-ung-dung-ai-senior-ai-gen-ai-engineer/2293972.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2301134,Chuyên Viên Kinh Doanh Bán Thêm Nền Tảng Chuyển Đổi Số MISA AMIS,Công ty Cổ phần MISA,10 - 12 triệu,Hồ Chí Minh (mới),Dưới 1 năm,https://www.topcv.vn/brand/misa/tuyen-dung/chuyen-vien-kinh-doanh-ban-them-nen-tang-chuyen-doi-so-misa-amis-j2301134.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2148214,Kỹ Thuật Viên Lập Trình Vận Hành Máy Phay CNC (Biết Mastercam /Gia Công Cơ Khí - Hàng Lẻ),CÔNG TY TNHH CTI VN,12 - 20 triệu,Hồ Chí Minh (mới),1 năm,https://www.topcv.vn/viec-lam/ky-thuat-vien-lap-trinh-van-hanh-may-phay-cnc-biet-mastercam-gia-cong-co-khi-hang-le/2148214.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2240408,Kỹ Thuật Viên Gia Công Phay CNC (Ưu Tiên Biết Lập Trình Mastercam),CÔNG TY TNHH CTI VN,12 - 18 triệu,Hồ Chí Minh (mới),Không yêu cầu,https://www.topcv.vn/viec-lam/ky-thuat-vien-gia-cong-phay-cnc-uu-tien-biet-lap-trinh-mastercam/2240408.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2291865,"AI & IT Support Specialist  - Tiếng Anh Tốt - 1 Năm Kinh Nghiệm - Làm Việc Tại Long Bình, HCM - Phúc Lợi Tốt, Thu Nhập 10 - 15 Triệu",CÔNG TY TNHH GIẢI PHÁP TỐT - GFT,9.9 - 15.4 triệu,Hồ Chí Minh (mới),1 năm,https://www.topcv.vn/viec-lam/ai-it-support-specialist-tieng-anh-tot-1-nam-kinh-nghiem-lam-viec-tai-long-binh-hcm-phuc-loi-tot-thu-nhap-10-15-trieu/2291865.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2294198,Nhân Viên Hành Chính: Gán Nhãn Dữ Liệu Hình Ảnh AI - Không Yêu Cầu Kinh Nghiệm,CÔNG TY TNHH ALCHERA VIỆT NAM,6.8 - 10 triệu,Hồ Chí Minh (mới),Không yêu cầu,https://www.topcv.vn/viec-lam/nhan-vien-hanh-chinh-gan-nhan-du-lieu-hinh-anh-ai-khong-yeu-cau-kinh-nghiem/2294198.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2078142,Kiểm Thử/Tester Mobile Apps: IOS & Android,CÔNG TY CỔ PHẦN TOH GROUP,Thoả thuận,Hà Nội,1 năm,https://www.topcv.vn/viec-lam/kiem-thu-tester-mobile-apps-ios-android/2078142.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2148612,Nhân Viên Vận Hành Máy Phay CNC/Cơ Khí- Setup Giỏi Đào Tạo Lên Lập Trình,CÔNG TY TNHH CTI VN,10 - 18 triệu,Hồ Chí Minh (mới),Không yêu cầu,https://www.topcv.vn/viec-lam/nhan-vien-van-hanh-may-phay-cnc-co-khi-setup-gioi-dao-tao-len-lap-trinh/2148612.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2300170,HTML Trainee,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI & DỊCH VỤ FASTCODING VIỆT NAM,8 - 10 triệu,Đà Nẵng (mới),Không yêu cầu,https://www.topcv.vn/viec-lam/html-trainee/2300170.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2301984,Kỹ Sư Lập Trình CNC,Công ty Cổ phần Apillis Việt Nam,Thoả thuận,Hồ Chí Minh (mới),2 năm,https://www.topcv.vn/viec-lam/ky-su-lap-trinh-cnc/2301984.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2294217,Design Manager (Mảng Event/Activation),công ty TNHH Engage Plus,20 - 30 triệu,Hồ Chí Minh (mới),Trên 5 năm,https://www.topcv.vn/viec-lam/design-manager-mang-event-activation/2294217.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2294792,"AEM Developer (Java, Sling, OSGi)",CÔNG TY TNHH SAI DIGITAL,Thoả thuận,Hà Nội,3 năm,https://www.topcv.vn/viec-lam/aem-developer-java-sling-osgi/2294792.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2298892,IT Support,CÔNG TY TNHH KAIOEN,13 - 18 triệu,Hồ Chí Minh (mới),2 năm,https://www.topcv.vn/viec-lam/it-support/2298892.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
2299676,Nhân Viên Thiết Kế / Designer / Creative Design - Lương Đến 18 Triệu,HỘ KINH DOANH CALLA BEAUTY ( CALLA VẺ ĐẸP),Tới 18 triệu,Đồng Nai (mới),1 năm,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-designer-creative-design-luong-den-18-trieu/2299676.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kSUctBh3WRHWwsfCERWWwblpIw1Nge4kQbt3vnGA_1789492167
